SCIENTIFIC_NAME,ACRONYM,AUTHORITY,COFC,SYN,COMMON_NAME,FAMILY,FN,WET,FORM,HABIT,SHADE,USDA_ID,OH_TORE,TYPE,OH_STATUS,EMP,MW,NCNE,NOTES,GROUP
Potamogeton nodosus,PTMNOD,Poir.,3,,LONG-LEAVED PONDWEED,Potamogetonaceae,,OBL,forb,PE,full,PONO2,,MO,native,OBL,OBL,OBL,,
Potamogeton perfoliatus,PTMPER,L.,10,,RED-HEADED PONDWEED,Potamogetonaceae,383.00,OBL,forb,PE,full,POPE7,X,MO,native,OBL,OBL,OBL,,
Potamogeton praelongus,PTMPRA,Wulfen,10,,WHITE-STEMMED PONDWEED,Potamogetonaceae,,OBL,forb,PE,full,POPR5,E,MO,native,OBL,OBL,OBL,,
Potamogeton pulcher,PTMPUL,Tuck.,8,,SPOTTED PONDWEED,Potamogetonaceae,,OBL,forb,PE,full,POPU6,E,MO,native,OBL,OBL,OBL,,
Potamogeton pusillus,PTMPUS,L.,4,,SMALL PONDWEED,Potamogetonaceae,384.00,OBL,forb,PE,full,POPU7,,MO,native,OBL,OBL,OBL,,
Potamogeton richardsonii,PTMRIC,(A. Benn.) Rydb.,10,,RICHARDSON'S PONDWEED,Potamogetonaceae,,OBL,forb,PE,full,PORI2,P,MO,native,OBL,OBL,OBL,,
Potamogeton robbinsii,PTMROB,Oakes,10,,ROBBINS' PONDWEED,Potamogetonaceae,,OBL,forb,PE,full,PORO2,E,MO,native,OBL,OBL,OBL,,
Potamogeton sp.,POTAMO,ND,,,ND,Potamogetonaceae,,OBL,forb,PE,full,POTAM,,MO,,,,,,
Potamogeton spirillus,PTMSPI,Tuck.,10,,SPIRAL PONDWEED,Potamogetonaceae,,OBL,forb,PE,full,POSP3,X,MO,native,OBL,OBL,OBL,,
Potamogeton strictifolius,PTMSTR,A. Benn.,10,,STRAIGHT-LEAVED PONDWEED,Potamogetonaceae,,OBL,forb,PE,full,POST2,X,MO,native,OBL,OBL,OBL,,
Potamogeton tennesseensis,PTMTEN,Fernald,9,,TENNESSEE PONDWEED,Potamogetonaceae,,OBL,forb,PE,full,POTE4,P,MO,native,OBL,OBL,OBL,,
Potamogeton vaseyi,PTMVAS,J.W. Robbins,10,,VASEY'S PONDWEED,Potamogetonaceae,,OBL,forb,PE,full,POVA3,X,MO,native,OBL,OBL,OBL,,
Potamogeton zosteriformis,PTMZOS,Fernald,8,,FLAT-STEMMED PONDWEED,Potamogetonaceae,,OBL,forb,PE,full,POZO,T,MO,native,OBL,OBL,OBL,,
Potentilla anserina,POTANS,L.,5,syn,SILVERWEED,Rosaceae,,OBL,forb,PE,full,ARAN7,,DI,native,OBL,FACW,FACW,syn. Argentina anserina,
Potentilla argentea,POTARG,L.,0,,SILVERY CINQUEFOIL,Rosaceae,,UPL,forb,PE,advent,POAR8,,DI,adventive,UPL,FACU,FACU,,
Potentilla arguta,POTARU,Pursh,5,,TALL CINQUEFOIL,Rosaceae,,UPL,forb,PE,full,POAR7,E,DI,native,,,,,
Potentilla canadensis,POTCAN,L.,3,,RUNNING CINQUEFOIL,Rosaceae,,(UPL),forb,PE,full,POCA17,,DI,native,,,,,
Potentilla fruticosa,POTFRU,L.,10,,SHRUBBY CINQUEFOIL,Rosaceae,,FACW,shrub,W,full,DAFRF,,DI,native,FACW,FACW,FACW,syn. Dasiphora fruticosa,
Potentilla inclinata,POTINC,Villars,0,,CINQUEFOIL,Rosaceae,,(UPL),forb,PE,advent,POIN10,,DI,adventive,,,,,
Potentilla intermedia,POTINT,L.,0,syn,INTERMEDIATE CINQUEFOIL,Rosaceae,385.00,(UPL),forb,PE,advent,POIN8,,DI,adventive,,,,,
Potentilla norvegica,POTNOR,L.,1,,STRAWBERRY-WEED,Rosaceae,,FACU,forb,AN,full,PONO3,,DI,native,FACU,FAC,FAC,,
Potentilla palustris,POTPAL,(L.) Scop.,8,,MARSH CINQUEFOIL,Rosaceae,,OBL,forb,PE,full,COPA28,P,DI,native,OBL,OBL,OBL,syn. Comarum palustre,
Potentilla paradoxa,POTPAR,Nutt.,9,,BUSHY CINQUEFOIL,Rosaceae,,OBL,forb,AN,full,POPA15,T,DI,native,OBL,FACW,FACW,,
Potentilla recta,POTREC,L.,0,,ROUGH-FRUITED CINQUEFOIL,Rosaceae,,(UPL),forb,PE,advent,PORE5,,DI,adventive,,,,,
Potentilla reptans,POTREP,L.,0,,CREEPING CINQUEFOIL,Rosaceae,,(UPL),forb,PE,advent,PORE6,,DI,adventive,,,,,
Potentilla simplex,POTSIM,Michx.,1,,OLD FIELD CINQUEFOIL,Rosaceae,,FACU-,forb,PE,full,POSI2,,DI,native,FACU,FACU,FACU,,
Potentilla sp.,POTENT,ND,,,ND,Rosaceae,,ND,ND,ND,ND,POTEN,,DI,,,,,,
Prenanthes alba,PREALB,L.,5,,WHITE RATTLESNAKE-ROOT,Asteraceae,,FACU,forb,PE,shade,PRAL2,,DI,native,FACU,FACU,FACU,syn. Nabalus albus,
Prenanthes altissima,PREALT,L.,4,,TALL RATTLESNAKE-ROOT,Asteraceae,,FACU-,forb,PE,shade,PRAL3,,DI,native,FACU,FACU,FACU,syn. Nabalus altissimus,
Prenanthes aspera,PREASP,Michx.,9,,ROUGH RATTLESNAKE-ROOT,Asteraceae,,(UPL),forb,PE,shade,PRAS,E,DI,native,,,,,
Prenanthes crepidinea,PRECRE,Michx.,8,,NODDING RATTLESNAKE-ROOT,Asteraceae,,FACU,forb,PE,shade,PRCR,,DI,native,FACU,FAC,FAC,syn. Nabalus crepidineus,
Prenanthes racemosa,PRERAC,Michx.,8,,PRAIRIE RATTLESNAKE-ROOT,Asteraceae,,FACW-,forb,PE,full,PRRA,P,DI,native,,,,,
Prenanthes serpentaria,PRESER,Pursh,5,,LION'S FOOT,Asteraceae,,(UPL),forb,PE,shade,PRSE,,DI,native,,,,,
Prenanthes sp.,PRENAN,ND,,,ND,Asteraceae,,ND,forb,PE,ND,PRENA,,DI,,,,,,
Prenanthes trifoliolata,PRETRI,(Cass.) Fernald,10,,GALL-OF-THE-EARTH,Asteraceae,,(UPL),forb,PE,shade,PRTR,E,DI,native,,,,,
Proboscidea louisianica,PROLOU,(Mill.) Thell.,0,,UNICORN-PLANT,Pedaliaceae,,FACU,forb,AN,advent,PRLO,,DI,adventive,FACU,FAC,FAC,,
Prosartes lanuginosa,PROLAN,(Michx.) D. Don,7,syn,YELLOW MANDARIN,Liliaceae,,(UPL),forb,PE,shade,PRLA9,,DI,native,,,,,
Prosartes maculata,PROMAC,(Buckley) A. Gray,9,syn,NODDING MANDARIN,Liliaceae,,(UPL),forb,PE,shade,PRMA14,T,DI,native,,,,,
Prosartes sp.,PROSAR,ND,,,ND,Liliaceae,,UPL,forb,PE,shade,PROSA,,DI,,,,,,
Proserpinaca palustris,PROPAL,L.,7,,MERMAID-WEED,Haloragaceae,,OBL,forb,PE,full,PRPA3,,DI,native,OBL,OBL,OBL,,
Prunella vulgaris,PRUVUL,L.,0,,SELF-HEAL,Lamiaceae,386.00,FACU+,forb,PE,partial,PRVU,,DI,native,FACU,FAC,FAC,,
Prunus americana,PRUAME,Marshall,3,,AMERICAN PLUM,Rosaceae,,FACU-,sm tree,W,partial,PRAM,,DI,native,,,,,
Prunus armeniaca,PRUARM,L.,0,,APRICOT,Rosaceae,,(UPL),sm tree,W,full,,,DI,adventive,FACU,UPL,UPL,,
Prunus avium,PRUAVE,L.,0,,SWEET CHERRY,Rosaceae,,(UPL),sm tree,W,advent,PRAV,,DI,adventive,,,,,
Prunus cerasus,PRUCER,L.,0,,SOUR CHERRY,Rosaceae,,(UPL),sm tree,W,advent,PRCE,,DI,adventive,,,,,
Prunus hortulana,PRUHOR,L.H. Bailey,3,,HORTULAN PLUM,Rosaceae,,(UPL),sm tree,W,full,PRHO,,DI,native,,,,,
Prunus mahaleb,PRUMAH,L.,0,,MAHALEB CHERRY,Rosaceae,,(UPL),sm tree,W,advent,PRMA,,DI,adventive,,,,,
Prunus mexicana,PRUMEX,S. Watson,8,syn,BIGTREE PLUM,Rosaceae,,(UPL),sm tree,W,full,PRME,P,DI,native,,,,,
Prunus munsoniana,PRUMUN,W. Wight & Hedrick,3,,MUNSON'S PLUM,Rosaceae,,(UPL),sm tree,W,full,PRMU,,DI,native,,,,,
Prunus nigra,PRUNIG,Aiton,4,,CANADA PLUM,Rosaceae,,UPL,sm tree,W,full,PRNI,E,DI,native,UPL,FACU,FACU,,
Prunus pensylvanica,PRUPEN,L.f.,4,,FIRE CHERRY,Rosaceae,,FACU-,sm tree,W,partial,PRPE2,,DI,native,FACU,FACU,FACU,,
Prunus persica,PRUPER,(L.) Batsch,0,,PEACH,Rosaceae,,(UPL),sm tree,W,full,PRPE3,,DI,adventive,,,,,
Prunus pumila,PRUPUM,L.,10,,SAND CHERRY,Rosaceae,387.00,(UPL),sm tree,W,full,PRPU3,E,DI,native,,,,,
Prunus serotina,PRUSER,Ehrh.,3,,BLACK CHERRY,Rosaceae,,FACU,tree,W,tree,PRSE2,,DI,native,FACU,FACU,FACU,,
Prunus sp.,PRUNUS,ND,,,ND,Rosaceae,,ND,ND,W,ND,PRUNU,,DI,,,,,,
Prunus tomentosa,PRUTOM,Thunb.,0,,NANKING CHERRY,Rosaceae,,(FACU),shrub,W,advent,PRTO80,,DI,adventive,,,,,
Prunus virginiana,PRUVIR,L.,2,,CHOKE CHERRY,Rosaceae,,FACU,sm tree,W,shade,PRVI,,DI,native,FACU,FACU,FACU,,
Ptelea trifoliata,PTETRI,L.,5,,HOP-TREE,Rutaceae,,FAC,sm tree,W,shade,PTTR,,DI,native,FAC,FACU,FACU,,
Pteridium aquilinum,PTEAQU,(L.) Kuhn,1,,BRACKEN FERN,Dennstaedtiaceae,388.00,FACU,fern,PE,partial,PTAQ,,SVP,native,FACU,FACU,FACU,,
Puccinellia distans,PUCDIS,(L.) Parl.,0,,EUROPEAN ALKALI GRASS,Poaceae,,OBL,grass,PE,advent,PUDI,,MO,adventive,OBL,OBL,FACW,,
Puccinellia pallida,PUCPAL,(Torr.) R.T. Clausen,7,syn,PALE MANNA GRASS,Poaceae,,OBL,grass,PE,partial,TOPAP,,MO,native,OBL,OBL,OBL,syn. Torreyochloa pallida,
Puccinellia sp.,PUCCIN,ND,,,ND,Poaceae,,OBL,grass,PE,advent,PUCCI,,MO,,,,,,
