SpeciesCode,WoodySpecies
CXRTRF,Carex retroflexa
CXRTRS,Carex retrorsa
CXREZN,Carex reznicekii
CXRICH,Carex richardsonii
CXROSE,Carex rosea
CXSART,Carex sartwellii
CXSCAB,Carex scabrata
CXSCOP,Carex scoparia
CXSEOR,Carex seorsa
CXSHOR,Carex shortiana
CXSICC,Carex siccata
CAREX,Carex sp.
CAREX,Carex sp2.
CAREX,Carex sp3.
CAREX,Carex sp4.
CAREX,Carex sp5.
CXSPAR,Carex sparganioides
CXSPIC,Carex spicata
CXSPRE,Carex sprengelii
CXSQUA,Carex squarrosa
CXSTER,Carex sterilis
CXSTIP,Carex stipata
CXSTRM,Carex straminea
CXSTRT,Carex striatula
CXSTRC,Carex stricta
CXSTYL,Carex styloflexa
CXSUBE,Carex suberecta
CXSWAN,Carex swanii
CXTENE,Carex tenera Dewey var. echinodes
CXTENE,Carex tenera var. echinodes
CXTENT,Carex tenera var. tenera
CXTENU,Carex tenuiflora
CXTETA,Carex tetanica
CXTEXE,Carex texensis
CXTIMI,Carex timida
CXTONS,Carex tonsa
CXTORT,Carex torta
CXTRIB,Carex tribuloides
CXTRIC,Carex trichocarpa
CXTRIS,Carex trisperma
CXTUCK,Carex tuckermanii
CXTYPH,Carex typhina
CXUMBE,Carex umbellata
CXUTRI,Carex utriculata
CXVESI,Carex vesicaria
CXVIRE,Carex virescens
CXVIRI,Carex viridula
CXVULP,Carex vulpinoidea
CXWILL,Carex willdenowii
CXWOOD,Carex woodii
CXSUBI,Carex X subimpressa
CRPCAR,Carpinus caroliniana
CARCAR,Carum carvi
CARCOR,Carya cordiformis
CARGLA,Carya glabra
CARILL,Carya illinoensis
CARLAC,Carya laciniosa
CAROVL,Carya ovalis
CAROVT,Carya ovata
CARYA,Carya sp.
CARTOM,Carya tomentosa
CASDEN,Castanea dentata
CASPUM,Castanea pumila
CASCOC,Castilleja coccinea
CATBIG,Catalpa bignoniodes
CATOVA,Catalpa ovata
CATALP,Catalpa sp.
CATSPE,Catalpa speciosa
CAUTHA,Caulophyllum thalictroides
CEAAME,Ceanothus americanus
CEAHER,Ceanothus herbaceus
CELORB,Celastrus orbiculatus
CELSCA,Celastrus scandens
CELAST,Celastrus sp.
CELARG,Celosia argentea
CELLAE,Celtis laevigata
CELOCC,Celtis occidentalis
CELTIS,Celtis sp.
CELTEN,Celtis tenuifolia
CENLON,Cenchrus longispinus
CENCYA,Centaurea cyanus
CENDUB,Centaurea dubia
CENJAC,Centaurea jacea
CENMAC,Centaurea maculosa
CENNIG,Centaurea nigra
CENREP,Centaurea repens
CENSCA,Centaurea scabiosa
CENSOL,Centaurea solstitialis
CENTAU,Centaurea sp.
CENERY,Centaurium erythraea
CENPUL,Centaurium pulchellum
CENMIN,Centunculus minimus
CEPOCC,Cephalanthus occidentalis
CERARV,Cerastium arvense
CERBRA,Cerastium brachypetalum
CERNUT,Cerastium nutans
CERPUM,Cerastium pumilum
CERSEM,Cerastium semidecandrum
CERAST,Cerastium sp.
CERTOM,Cerastium tomentosum
CERVIS,Cerastium viscosum
CERVUL,Cerastium vulgatum
CERDEM,Ceratophyllum demersum
CERECH,Ceratophyllum echinatum
CERATO,Ceratophyllum sp.
CERCAN,Cercis canadensis
CHALAG,Chaenomeles lagenaria
CHAMIN,Chaenorrhinum minus
CHAPRO,Chaerophyllum procumbens
CHAFAS,Chamaecrista fasciculata
CHANIC,Chamaecrista nictitans
CHAMAE,Chamaecrista sp.
CHACAL,Chamaedaphne calyculata
CHALUT,Chamaelirium luteum
CHALAT,Chasmanthium latifolium
CHEMAJ,Chelidonium majus
CHEGLA,Chelone glabra
CHEALB,Chenopodium album
CHEAMB,Chenopodium ambrosioides
CHEBER,Chenopodium berlandieri
CHEBOT,Chenopodium botrys
CHECAP,Chenopodium capitatum
CHEGLA,Chenopodium glaucum
CHEINC,Chenopodium incanum
CHELEP,Chenopodium leptophyllum
CHEMUR,Chenopodium murale
CHEPOL,Chenopodium polyspermum
CHENPRA,Chenopodium pratericola
CHEPUM,Chenopodium pumilio
CHESIM,Chenopodium simplex
CHENOP,Chenopodium sp.
CHESTA,Chenopodium standleyanum
CHEURB,Chenopodium urbicum
CHEVUL,Chenopodium vulvaria
CHIMAC,Chimaphila maculata
CHIMAP,Chimaphila sp.
CHIUMB,Chimaphila umbellata
CHIVIR,Chionanthus virginicus
CHLVIR,Chloris virgata
CHOTEN,Chorispora tenella
CHRBAL,Chrysanthemum balsamita
CHRLEU,Chrysanthemum leucanthemum
CHRMAX,Chrysanthemum maximum
CHRPAR,Chrysanthemum parthenium
CHRYSA,Chrysanthemum sp.
CHRVIR,Chrysogonum virginianum
CHRCAM,Chrysopsis camporum
CHRGRA,Chrysopsis graminifolia
CHRMAR,Chrysopsis mariana
CHRYSO,Chrysopsis sp.
CHRAME,Chrysosplenium americanum
CICINT,Cichorium intybus
CICBUL,Cicuta bulbifera
CICMAC,Cicuta maculata
CICUTA,Cicuta sp.
CIMRAC,Cimicifuga racemosa
CINARU,Cinna arundinacea
CINLAT,Cinna latifolia
CINNA,Cinna sp.
CIRALP,Circaea alpina
CIRLUT,Circaea lutetiana
CIRCAE,Circaea sp.
CIRALT,Cirsium altissimum
CIRARV,Cirsium arvense
CIRCAR,Cirsium carolinianum
CIRDIS,Cirsium discolor
CIRMUT,Cirsium muticum
CIRPLA,Cirsium plattense
CIRPUM,Cirsium pumilum
CIRSIU,Cirsium sp.
CIRVUL,Cirsium vulgare
CITLAN,Citrullus lanatus
CLAMAR,Cladium mariscoides
CLALUT,Cladrastis lutea
CLAPUL,Clarkia pulchella
CLACAR,Claytonia caroliniana
CLAYTO,Claytonia sp.
CALVIR,Claytonia virginica
CLEOCC,Clematis occidentalis
CLEMAT,Clematis sp.
CLETER,Clematis terniflora
CLEVER,Clematis verticillaris
CLEVIO,Clematis viorna
CLEVIR,Clematis virginiana
CLEHAS,Cleome hassleriana
CLESER,Cleome serrulata
CLIVUL,Clinopodium vulgare
CLIBOR,Clintonia borealis
CLINTO,Clintonia sp.
CLIUMB,Clintonia umbellulata
CLIMAR,Clitoria mariana
COEVIR,Coeloglossum viride (L.) Hartman var. virescens
COEVIR,Coeloglossum viride var. virescens
COLLON,Coleataenia longifolia
COLVER,Collinsia verna
COLCAN,Collinsonia canadensis
COLVER,Collinsonia verticillata
COLLIN,Collomia linearis
COMUMB,Comandra umbellata
COMCOM,Commelina communis
COMDIF,Commelina diffusa
COMMEL,Commelina sp.
COMVIR,Commelina virginica
COMPER,Comptonia peregrina
CONCHI,Conioselinum chinense
CONMACU,Conium maculatum
CONAME,Conopholis americana
CONORI,Conringia orientalis
CONMAJ,Convallaria majalis
CONARV,Convolvulus arvensis
CONCAN,Conyza canadensis
CONRAM,Conyza ramosissima
CONYZA,Conyza sp.
COPTRI,Coptis trifolia
CORMAC,Corallorhiza maculata
CORODO,Corallorhiza odontorhiza
CORALL,Corallorhiza sp.
CORTRI,Corallorhiza trifida
CORWIS,Corallorhiza wisteriana
CORGRA,Coreopsis grandiflora
CORLAN,Coreopsis lanceolata
CORMAJ,Coreopsis major
COREOP,Coreopsis sp.
CORTIN,Coreopsis tinctoria
CORTRP,Coreopsis tripteris
CORSAT,Coriandrum sativum
CORHYS,Corispermum hyssopfolium
CORHYS,Corispermum hyssopifolium
